Arquivo;Motor_CV;Marca;RPM;Modelo;Polos;Tensao;Amperagem;Passo_Princ;Espiras_Princ;Fio_Princ;Passo_Aux;Espiras_Aux;Fio_Aux;Amp_Teste;Rolamentos;Capacitores;Peso_Kg_G
utlm tst.jpeg;N/A;WEG;619;S/M;8;220;N/A;N/A;12;32;N/A;4;20;N/A;N/A;N/A;N/A
WhatsApp Image 2026-03-03 at 21.33.18.jpeg;N/A;S/M;2460;S/M;4;N/A;N/A;N/A;42;10;N/A;246;19;N/A;N/A;N/A;N/A
